question_uid,parliament,session,question_number,response_date,response_sitting_day,response_type,response_detail,response_details_full
42-1-2303,42,1,2303,2019-04-29,405,written,Sessional Paper No. 8555-421-2303,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2303)  — April 29, 2019"
42-1-2304,42,1,2304,2019-04-29,405,verbal,"Debates April 29, 2019","Answered (See Debates) — April 29, 2019"
42-1-2305,42,1,2305,2019-04-29,405,written,Sessional Paper No. 8555-421-2305,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2305)  — April 29, 2019"
42-1-2306,42,1,2306,2019-04-26,405,written,Sessional Paper No. 8555-421-2306,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2306)  — April 26, 2019"
42-1-2307,42,1,2307,2019-04-29,405,verbal,"Debates April 29, 2019","Answered (See Debates) — April 29, 2019"
42-1-2308,42,1,2308,2019-04-29,405,verbal,"Debates April 29, 2019","Answered (See Debates) — April 29, 2019"
42-1-2309,42,1,2309,2019-04-29,405,verbal,"Debates April 29, 2019","Answered (See Debates) — April 29, 2019"
42-1-2310,42,1,2310,2019-05-01,407,written,Sessional Paper No. 8555-421-2310,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2310)  — May 1, 2019"
42-1-2311,42,1,2311,2019-05-01,407,written,Sessional Paper No. 8555-421-2311,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2311)  — May 1, 2019"
42-1-2312,42,1,2312,2019-05-01,407,verbal,"Debates May 1, 2019","Answered (See Debates) — May 1, 2019"
42-1-2313,42,1,2313,2019-05-01,407,written,Sessional Paper No. 8555-421-2313,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2313)  — May 1, 2019"
42-1-2314,42,1,2314,2019-05-01,407,written,Sessional Paper No. 8555-421-2314,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2314)  — May 1, 2019"
42-1-2315,42,1,2315,2019-05-01,407,written,Sessional Paper No. 8555-421-2315,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2315)  — May 1, 2019"
42-1-2316,42,1,2316,2019-05-01,407,written,Sessional Paper No. 8555-421-2316,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2316)  — May 1, 2019"
42-1-2317,42,1,2317,2019-05-01,407,written,Sessional Paper No. 8555-421-2317,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2317)  — May 1, 2019"
42-1-2318,42,1,2318,2019-05-01,407,written,Sessional Paper No. 8555-421-2318,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2318)  — May 1, 2019"
42-1-2319,42,1,2319,2019-05-01,407,written,Sessional Paper No. 8555-421-2319,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2319)  — May 1, 2019"
42-1-2320,42,1,2320,2019-05-01,407,written,Sessional Paper No. 8555-421-2320,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2320)  — May 1, 2019"
42-1-2321,42,1,2321,2019-05-01,407,written,Sessional Paper No. 8555-421-2321,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2321)  — May 1, 2019"
42-1-2322,42,1,2322,2019-05-01,407,written,Sessional Paper No. 8555-421-2322,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2322)  — May 1, 2019"
42-1-2323,42,1,2323,2019-05-03,409,written,Sessional Paper No. 8555-421-2323,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2323)  — May 3, 2019"
42-1-2324,42,1,2324,2019-05-03,409,written,Sessional Paper No. 8555-421-2324,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2324)  — May 3, 2019"
42-1-2325,42,1,2325,2019-05-03,409,written,Sessional Paper No. 8555-421-2325,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2325)  — May 3, 2019"
42-1-2326,42,1,2326,2019-05-03,409,written,Sessional Paper No. 8555-421-2326,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2326)  — May 3, 2019"
42-1-2327,42,1,2327,2019-05-03,409,written,Sessional Paper No. 8555-421-2327,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2327)  — May 3, 2019"
42-1-2328,42,1,2328,2019-05-03,409,written,Sessional Paper No. 8555-421-2328,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2328)  — May 3, 2019"
42-1-2329,42,1,2329,2019-05-03,409,written,Sessional Paper No. 8555-421-2329,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2329)  — May 3, 2019"
42-1-2330,42,1,2330,2019-05-03,409,written,Sessional Paper No. 8555-421-2330,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2330)  — May 3, 2019"
42-1-2331,42,1,2331,2019-05-03,409,written,Sessional Paper No. 8555-421-2331,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2331)  — May 3, 2019"
42-1-2332,42,1,2332,2019-05-03,409,written,Sessional Paper No. 8555-421-2332,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2332)  — May 3, 2019"
