question_uid,parliament,session,question_number,response_date,response_sitting_day,response_type,response_detail,response_details_full
39-1-1,39,1,1,2006-05-12,22,written,Sessional Paper No. 8555-391-1,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-1)  — May 12, 2006"
39-1-2,39,1,2,2006-05-29,28,written,Sessional Paper No. 8555-391-2,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-2)  — May 29, 2006"
39-1-3,39,1,3,2006-05-19,27,verbal,"Debates May 19, 2006","Answered — May 19, 2006 (See Debates)"
39-1-4,39,1,4,2006-10-26,70,written,Sessional Paper No. 8555-391-4,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-4)  — October 26, 2006"
39-1-5,39,1,5,2007-02-13,109,withdrawn,NA,"Withdrawn — February 13, 2007"
39-1-6,39,1,6,2006-05-12,22,verbal,"Debates May 12, 2006","Answered — May 12, 2006 (See Debates)"
39-1-7,39,1,7,2006-05-12,22,verbal,"Debates May 12, 2006","Answered — May 12, 2006 (See Debates)"
39-1-8,39,1,8,2006-05-12,22,verbal,"Debates May 12, 2006","Answered — May 12, 2006 (See Debates)"
39-1-9,39,1,9,2006-06-05,33,written,Sessional Paper No. 8555-391-9,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-9)  — June 5, 2006"
39-1-10,39,1,10,2006-10-16,NA,written,Sessional Paper No. 8555-391-10,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-10)  — October 16, 2006"
39-1-10,39,1,10,2006-10-16,NA,written,"Sessional Paper No. 8555-391-10Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-10)  — October 16, 2006","Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-10)  — October 16, 2006Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-10)  — October 16, 2006"
39-1-11,39,1,11,2006-06-05,33,verbal,"Debates June 5, 2006","Answered — June 5, 2006 (See Debates)"
39-1-12,39,1,12,2006-06-05,33,verbal,"Debates June 5, 2006","Answered — June 5, 2006 (See Debates)"
39-1-13,39,1,13,2006-06-07,35,written,Sessional Paper No. 8555-391-13,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-13)  — June 7, 2006"
39-1-13,39,1,13,2007-03-19,123,written,Sessional Paper No. 8555-391-13-01,"Made an Order for Return and revised answer tabled (Sessional Paper No. 8555-391-13-01)  — March 19, 2007"
39-1-14,39,1,14,2006-06-07,35,verbal,"Debates June 7, 2006","Answered — June 7, 2006 (See Debates)"
39-1-15,39,1,15,2006-06-07,35,verbal,"Debates June 7, 2006","Answered — June 7, 2006 (See Debates)"
39-1-16,39,1,16,2006-06-19,43,withdrawn,NA,"Withdrawn — June 19, 2006"
39-1-17,39,1,17,2006-06-19,43,withdrawn,NA,"Withdrawn — June 19, 2006"
39-1-18,39,1,18,2006-06-22,46,verbal,"Debates June 22, 2006","Answered — June 22, 2006 (See Debates)"
39-1-19,39,1,19,2006-06-15,41,verbal,"Debates June 15, 2006","Answered — June 15, 2006 (See Debates)"
39-1-20,39,1,20,2006-06-19,43,withdrawn,NA,"Withdrawn — June 19, 2006"
39-1-21,39,1,21,2006-06-19,43,withdrawn,NA,"Withdrawn — June 19, 2006"
39-1-22,39,1,22,2006-06-16,42,written,Sessional Paper No. 8555-391-22,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-22)  — June 16, 2006"
39-1-22,39,1,22,2006-10-16,NA,written,Sessional Paper No. 8555-391-22-01,"Made an Order for Return and supplementary answer tabled (Sessional Paper No. 8555-391-22-01)  — October 16, 2006"
39-1-22,39,1,22,2006-10-16,NA,written,"Sessional Paper No. 8555-391-22-01Made an Order for Return and supplementary answer tabled (Sessional Paper No. 8555-391-22-01)  — October 16, 2006","Made an Order for Return and supplementary answer tabled (Sessional Paper No. 8555-391-22-01)  — October 16, 2006Made an Order for Return and supplementary answer tabled (Sessional Paper No. 8555-391-22-01)  — October 16, 2006"
39-1-23,39,1,23,2006-06-16,42,written,Sessional Paper No. 8555-391-23,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-23)  — June 16, 2006"
39-1-24,39,1,24,2006-06-15,41,verbal,"Debates June 15, 2006","Answered — June 15, 2006 (See Debates)"
39-1-25,39,1,25,2006-06-21,45,verbal,"Debates June 21, 2006","Answered — June 21, 2006 (See Debates)"
39-1-26,39,1,26,2006-06-16,42,verbal,"Debates June 16, 2006","Answered — June 16, 2006 (See Debates)"
39-1-27,39,1,27,2006-06-21,45,verbal,"Debates June 21, 2006","Answered — June 21, 2006 (See Debates)"
39-1-28,39,1,28,2006-09-27,54,written,Sessional Paper No. 8555-391-28,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-28)  — September 27, 2006"
39-1-29,39,1,29,2006-06-16,42,verbal,"Debates June 16, 2006","Answered — June 16, 2006 (See Debates)"
39-1-30,39,1,30,2006-06-16,42,verbal,"Debates June 16, 2006","Answered — June 16, 2006 (See Debates)"
39-1-31,39,1,31,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-32,39,1,32,2006-06-21,45,verbal,"Debates June 21, 2006","Answered — June 21, 2006 (See Debates)"
39-1-33,39,1,33,2006-09-18,47,written,Sessional Paper No. 8555-391-33,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-33)  — September 18, 2006"
39-1-33,39,1,33,2007-03-19,123,written,Sessional Paper No. 8555-391-33-01,"Made an Order for Return and revised answer tabled (Sessional Paper No. 8555-391-33-01)  — March 19, 2007"
39-1-34,39,1,34,2006-06-16,42,verbal,"Debates June 16, 2006","Answered — June 16, 2006 (See Debates)"
39-1-35,39,1,35,2006-06-21,45,verbal,"Debates June 21, 2006","Answered — June 21, 2006 (See Debates)"
39-1-36,39,1,36,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-37,39,1,37,2006-06-22,46,verbal,"Debates June 22, 2006","Answered — June 22, 2006 (See Debates)"
39-1-38,39,1,38,2006-06-16,42,verbal,"Debates June 16, 2006","Answered — June 16, 2006 (See Debates)"
39-1-39,39,1,39,2006-06-22,46,written,Sessional Paper No. 8555-391-39,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-39)  — June 22, 2006"
39-1-40,39,1,40,2006-09-18,47,written,Sessional Paper No. 8555-391-40,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-40)  — September 18, 2006"
39-1-41,39,1,41,2006-09-18,47,written,Sessional Paper No. 8555-391-41,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-41)  — September 18, 2006"
39-1-42,39,1,42,2006-06-22,46,written,Sessional Paper No. 8555-391-42,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-42)  — June 22, 2006"
39-1-43,39,1,43,2006-06-22,46,written,Sessional Paper No. 8555-391-43,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-43)  — June 22, 2006"
39-1-44,39,1,44,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-45,39,1,45,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-46,39,1,46,2006-09-18,47,written,Sessional Paper No. 8555-391-46,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-46)  — September 18, 2006"
39-1-47,39,1,47,2006-06-22,46,verbal,"Debates June 22, 2006","Answered — June 22, 2006 (See Debates)"
39-1-48,39,1,48,2006-09-18,47,written,Sessional Paper No. 8555-391-48,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-48)  — September 18, 2006"
39-1-49,39,1,49,2006-09-18,47,written,Sessional Paper No. 8555-391-49,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-49)  — September 18, 2006"
39-1-50,39,1,50,2006-09-18,47,written,Sessional Paper No. 8555-391-50,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-50)  — September 18, 2006"
39-1-51,39,1,51,2006-06-22,46,verbal,"Debates June 22, 2006","Answered — June 22, 2006 (See Debates)"
39-1-52,39,1,52,2006-09-18,47,written,Sessional Paper No. 8555-391-52,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-52)  — September 18, 2006"
39-1-53,39,1,53,2006-09-18,47,written,Sessional Paper No. 8555-391-53,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-53)  — September 18, 2006"
39-1-54,39,1,54,2006-09-18,47,written,Sessional Paper No. 8555-391-54,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-54)  — September 18, 2006"
39-1-55,39,1,55,2006-09-18,47,written,Sessional Paper No. 8555-391-55,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-55)  — September 18, 2006"
39-1-56,39,1,56,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-57,39,1,57,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-58,39,1,58,2006-09-18,47,written,Sessional Paper No. 8555-391-58,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-58)  — September 18, 2006"
39-1-59,39,1,59,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-60,39,1,60,2006-09-18,47,written,Sessional Paper No. 8555-391-60,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-60)  — September 18, 2006"
39-1-61,39,1,61,2006-09-18,47,written,Sessional Paper No. 8555-391-61,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-61)  — September 18, 2006"
39-1-62,39,1,62,2006-09-18,47,written,Sessional Paper No. 8555-391-62,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-62)  — September 18, 2006"
39-1-63,39,1,63,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-64,39,1,64,2006-10-19,65,written,Sessional Paper No. 8555-391-64,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-64)  — October 19, 2006"
39-1-65,39,1,65,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-66,39,1,66,2006-09-18,47,written,Sessional Paper No. 8555-391-66,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-66)  — September 18, 2006"
39-1-67,39,1,67,2006-09-18,47,written,Sessional Paper No. 8555-391-67,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-67)  — September 18, 2006"
39-1-68,39,1,68,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-69,39,1,69,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-70,39,1,70,2006-11-20,82,written,Sessional Paper No. 8555-391-70,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-70)  — November 20, 2006"
39-1-71,39,1,71,2006-09-18,NA,written,Sessional Paper No.,"Absence of a reply deemed referred to the Standing Committee on Natural Resources — September 18, 2006"
39-1-71,39,1,71,2006-09-19,48,written,Sessional Paper No. 8555-391-71,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-71)  — September 19, 2006"
39-1-72,39,1,72,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-73,39,1,73,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-74,39,1,74,2006-09-18,47,written,Sessional Paper No. 8555-391-74,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-74)  — September 18, 2006"
39-1-75,39,1,75,2006-09-18,47,written,Sessional Paper No. 8555-391-75,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-75)  — September 18, 2006"
39-1-76,39,1,76,2006-09-18,47,written,Sessional Paper No. 8555-391-76,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-76)  — September 18, 2006"
39-1-77,39,1,77,2006-09-18,47,written,Sessional Paper No. 8555-391-77,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-77)  — September 18, 2006"
39-1-78,39,1,78,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-79,39,1,79,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-80,39,1,80,2006-09-18,47,written,Sessional Paper No. 8555-391-80,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-80)  — September 18, 2006"
39-1-81,39,1,81,2006-09-18,47,written,Sessional Paper No. 8555-391-81,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-81)  — September 18, 2006"
39-1-82,39,1,82,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-83,39,1,83,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-84,39,1,84,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-85,39,1,85,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-86,39,1,86,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-87,39,1,87,2006-09-18,47,written,Sessional Paper No. 8555-391-87,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-87)  — September 18, 2006"
39-1-88,39,1,88,2006-10-24,68,written,Sessional Paper No. 8555-391-88,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-88)  — October 24, 2006"
39-1-89,39,1,89,2006-11-02,75,verbal,"Debates November 2, 2006","Answered — November 2, 2006 (See Debates)"
39-1-90,39,1,90,2006-10-18,NA,written,"Sessional Paper No. -1062,Q-1072 and Q-1082 by order of the Speaker","Question divided into Q-1062, Q-1072 and Q-1082 by order of the Speaker — October 18, 2006"
39-1-91,39,1,91,2006-10-02,57,withdrawn,NA,"Withdrawn — October 2, 2006"
39-1-92,39,1,92,2006-11-06,77,written,Sessional Paper No. 8555-391-92,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-92)  — November 6, 2006"
39-1-93,39,1,93,2006-11-08,79,written,Sessional Paper No. 8555-391-93,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-93)  — November 8, 2006"
39-1-94,39,1,94,2006-11-20,82,verbal,"Debates November 20, 2006","Answered — November 20, 2006 (See Debates)"
39-1-95,39,1,95,2006-11-08,79,verbal,"Debates November 8, 2006","Answered — November 8, 2006 (See Debates)"
39-1-96,39,1,96,2006-11-20,82,verbal,"Debates November 20, 2006","Answered — November 20, 2006 (See Debates)"
39-1-97,39,1,97,2006-11-03,76,verbal,"Debates November 3, 2006","Answered — November 3, 2006 (See Debates)"
39-1-98,39,1,98,2006-11-03,76,verbal,"Debates November 3, 2006","Answered — November 3, 2006 (See Debates)"
39-1-99,39,1,99,2006-11-20,82,written,Sessional Paper No. 8555-391-99,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-99)  — November 20, 2006"
39-1-100,39,1,100,2006-11-20,82,verbal,"Debates November 20, 2006","Answered — November 20, 2006 (See Debates)"
39-1-101,39,1,101,2006-11-27,87,verbal,"Debates November 27, 2006","Answered — November 27, 2006 (See Debates)"
39-1-102,39,1,102,2006-11-27,87,verbal,"Debates November 27, 2006","Answered — November 27, 2006 (See Debates)"
39-1-103,39,1,103,2006-11-24,86,verbal,"Debates November 24, 2006","Answered — November 24, 2006 (See Debates)"
39-1-104,39,1,104,2006-12-04,90,written,Sessional Paper No. 8555-391-104,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-104)  — December 4, 2006"
39-1-105,39,1,105,2006-11-29,89,written,Sessional Paper No. 8555-391-105,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-105)  — November 29, 2006"
39-1-106,39,1,106,2006-11-02,75,written,Sessional Paper No. 8555-391-106,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-106)  — November 2, 2006"
39-1-106,39,1,106,2006-11-10,81,written,Sessional Paper No. 8555-391-106-01,"Made an Order for Return and supplementary answer tabled (Sessional Paper No. 8555-391-106-01)  — November 10, 2006"
39-1-107,39,1,107,2006-11-01,74,written,Sessional Paper No. 8555-391-107,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-107)  — November 1, 2006"
39-1-108,39,1,108,2006-11-02,75,written,Sessional Paper No. 8555-391-108,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-108)  — November 2, 2006"
39-1-108,39,1,108,2006-11-10,81,written,Sessional Paper No. 8555-391-108-01,"Made an Order for Return and supplementary answer tabled (Sessional Paper No. 8555-391-108-01)  — November 10, 2006"
39-1-109,39,1,109,2006-12-06,92,written,Sessional Paper No. 8555-391-109,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-109)  — December 6, 2006"
39-1-110,39,1,110,2007-04-30,143,verbal,"Debates April 30, 2007","Answered — April 30, 2007 (See Debates)"
39-1-111,39,1,111,2006-12-11,95,written,Sessional Paper No. 8555-391-111,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-111)  — December 11, 2006"
39-1-112,39,1,112,2006-12-13,97,written,Sessional Paper No. 8555-391-112,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-112)  — December 13, 2006"
39-1-113,39,1,113,2006-12-11,95,verbal,"Debates December 11, 2006","Answered — December 11, 2006 (See Debates)"
39-1-114,39,1,114,2006-12-13,97,written,Sessional Paper No. 8555-391-114,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-114)  — December 13, 2006"
39-1-115,39,1,115,2007-01-29,98,verbal,"Debates January 29, 2007","Answered — January 29, 2007 (See Debates)"
39-1-116,39,1,116,2007-01-29,98,verbal,"Debates January 29, 2007","Answered — January 29, 2007 (See Debates)"
39-1-117,39,1,117,2007-01-29,98,verbal,"Debates January 29, 2007","Answered — January 29, 2007 (See Debates)"
39-1-118,39,1,118,2007-01-29,98,written,Sessional Paper No. 8555-391-118,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-118)  — January 29, 2007"
39-1-119,39,1,119,2007-01-29,98,written,Sessional Paper No. 8555-391-119,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-119)  — January 29, 2007"
39-1-120,39,1,120,2007-01-29,98,written,Sessional Paper No. 8555-391-120,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-120)  — January 29, 2007"
39-1-121,39,1,121,2007-01-29,98,written,Sessional Paper No. 8555-391-121,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-121)  — January 29, 2007"
39-1-121,39,1,121,2007-02-05,103,written,Sessional Paper No. 8555-391-121-01,"Made an Order for Return and supplementary answer tabled (Sessional Paper No. 8555-391-121-01)  — February 5, 2007"
39-1-122,39,1,122,2007-01-29,98,written,Sessional Paper No. 8555-391-122,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-122)  — January 29, 2007"
39-1-123,39,1,123,2007-01-29,98,written,Sessional Paper No. 8555-391-123,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-123)  — January 29, 2007"
39-1-124,39,1,124,2007-01-29,98,verbal,"Debates January 29, 2007","Answered — January 29, 2007 (See Debates)"
39-1-125,39,1,125,2007-01-29,98,verbal,"Debates January 29, 2007","Answered — January 29, 2007 (See Debates)"
39-1-126,39,1,126,2007-01-29,98,verbal,"Debates January 29, 2007","Answered — January 29, 2007 (See Debates)"
39-1-127,39,1,127,2007-01-29,98,verbal,"Debates January 29, 2007","Answered — January 29, 2007 (See Debates)"
39-1-128,39,1,128,2007-01-29,98,verbal,"Debates January 29, 2007","Answered — January 29, 2007 (See Debates)"
39-1-129,39,1,129,2007-01-29,98,verbal,"Debates January 29, 2007","Answered — January 29, 2007 (See Debates)"
39-1-130,39,1,130,2007-01-29,98,verbal,"Debates January 29, 2007","Answered — January 29, 2007 (See Debates)"
39-1-131,39,1,131,2007-01-29,98,written,Sessional Paper No. 8555-391-131,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-131)  — January 29, 2007"
39-1-132,39,1,132,2007-01-29,98,written,Sessional Paper No. 8555-391-132,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-132)  — January 29, 2007"
39-1-133,39,1,133,2007-01-29,98,written,Sessional Paper No. 8555-391-133,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-133)  — January 29, 2007"
39-1-134,39,1,134,2007-03-19,123,verbal,"Debates March 19, 2007","Answered — March 19, 2007 (See Debates)"
39-1-135,39,1,135,2007-03-19,123,verbal,"Debates March 19, 2007","Answered — March 19, 2007 (See Debates)"
39-1-136,39,1,136,2007-03-19,123,written,Sessional Paper No. 8555-391-136,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-136)  — March 19, 2007"
39-1-137,39,1,137,2007-03-19,123,written,Sessional Paper No. 8555-391-137,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-137)  — March 19, 2007"
39-1-138,39,1,138,2007-02-05,103,withdrawn,NA,"Withdrawn — February 5, 2007"
39-1-139,39,1,139,2007-03-19,123,written,Sessional Paper No. 8555-391-139,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-139)  — March 19, 2007"
39-1-140,39,1,140,2007-03-19,123,written,Sessional Paper No. 8555-391-140,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-140)  — March 19, 2007"
39-1-141,39,1,141,2007-03-28,130,verbal,"Debates March 28, 2007","Answered — March 28, 2007 (See Debates)"
39-1-142,39,1,142,2007-03-19,123,verbal,"Debates March 19, 2007","Answered — March 19, 2007 (See Debates)"
39-1-143,39,1,143,2007-02-14,110,verbal,"Debates February 14, 2007","Answered — February 14, 2007 (See Debates)"
39-1-144,39,1,144,2007-05-25,158,withdrawn,NA,"Withdrawn — May 25, 2007"
39-1-145,39,1,145,2007-03-21,125,written,Sessional Paper No. 8555-391-145,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-145)  — March 21, 2007"
39-1-146,39,1,146,2007-02-14,110,verbal,"Debates February 14, 2007","Answered — February 14, 2007 (See Debates)"
39-1-147,39,1,147,2007-03-19,123,verbal,"Debates March 19, 2007","Answered — March 19, 2007 (See Debates)"
39-1-148,39,1,148,2007-03-19,123,written,Sessional Paper No. 8555-391-148,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-148)  — March 19, 2007"
39-1-149,39,1,149,2007-02-14,110,verbal,"Debates February 14, 2007","Answered — February 14, 2007 (See Debates)"
39-1-150,39,1,150,2007-02-14,110,verbal,"Debates February 14, 2007","Answered — February 14, 2007 (See Debates)"
39-1-151,39,1,151,2007-02-14,110,verbal,"Debates February 14, 2007","Answered — February 14, 2007 (See Debates)"
39-1-152,39,1,152,2007-03-19,123,written,Sessional Paper No. 8555-391-152,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-152)  — March 19, 2007"
39-1-153,39,1,153,2007-03-19,123,verbal,"Debates March 19, 2007","Answered — March 19, 2007 (See Debates)"
39-1-154,39,1,154,2007-03-19,123,written,Sessional Paper No. 8555-391-154,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-154)  — March 19, 2007"
39-1-155,39,1,155,2007-02-06,104,withdrawn,NA,"Withdrawn — February 6, 2007"
39-1-156,39,1,156,2007-05-03,146,written,Sessional Paper No. 8555-391-156,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-156)  — May 3, 2007"
39-1-157,39,1,157,2007-02-14,110,verbal,"Debates February 14, 2007","Answered — February 14, 2007 (See Debates)"
39-1-158,39,1,158,2007-02-14,110,verbal,"Debates February 14, 2007","Answered — February 14, 2007 (See Debates)"
39-1-159,39,1,159,2007-03-19,123,verbal,"Debates March 19, 2007","Answered — March 19, 2007 (See Debates)"
39-1-160,39,1,160,2007-03-19,123,written,Sessional Paper No. 8555-391-160,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-160)  — March 19, 2007"
39-1-161,39,1,161,2007-05-24,158,withdrawn,NA,"Withdrawn — May 24, 2007"
39-1-162,39,1,162,2007-02-14,110,verbal,"Debates February 14, 2007","Answered — February 14, 2007 (See Debates)"
39-1-163,39,1,163,2007-03-19,123,verbal,"Debates March 19, 2007","Answered — March 19, 2007 (See Debates)"
39-1-164,39,1,164,2007-03-30,132,verbal,"Debates March 30, 2007","Answered — March 30, 2007 (See Debates)"
39-1-165,39,1,165,2007-03-21,125,written,Sessional Paper No. 8555-391-165,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-165)  — March 21, 2007"
39-1-166,39,1,166,2007-03-26,128,written,Sessional Paper No. 8555-391-166,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-166)  — March 26, 2007"
39-1-167,39,1,167,2007-03-26,128,written,Sessional Paper No. 8555-391-167,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-167)  — March 26, 2007"
39-1-168,39,1,168,2007-03-21,125,verbal,"Debates March 21, 2007","Answered — March 21, 2007 (See Debates)"
39-1-169,39,1,169,2007-02-15,111,verbal,"Debates February 15, 2007","Answered — February 15, 2007 (See Debates)"
39-1-170,39,1,170,2007-03-21,125,verbal,"Debates March 21, 2007","Answered — March 21, 2007 (See Debates)"
39-1-171,39,1,171,2007-03-29,131,written,Sessional Paper No. 8555-391-171,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-171)  — March 29, 2007"
39-1-172,39,1,172,2007-03-19,123,written,Sessional Paper No. 8555-391-172,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-172)  — March 19, 2007"
39-1-173,39,1,173,2007-04-16,133,verbal,"Debates April 16, 2007","Answered — April 16, 2007 (See Debates)"
39-1-174,39,1,174,2007-04-16,133,verbal,"Debates April 16, 2007","Answered — April 16, 2007 (See Debates)"
39-1-175,39,1,175,2007-04-16,133,verbal,"Debates April 16, 2007","Answered — April 16, 2007 (See Debates)"
39-1-176,39,1,176,2007-04-16,133,verbal,"Debates April 16, 2007","Answered — April 16, 2007 (See Debates)"
39-1-177,39,1,177,2007-04-16,133,verbal,"Debates April 16, 2007","Answered — April 16, 2007 (See Debates)"
39-1-178,39,1,178,2007-04-16,133,verbal,"Debates April 16, 2007","Answered — April 16, 2007 (See Debates)"
39-1-179,39,1,179,2007-03-30,132,verbal,"Debates March 30, 2007","Answered — March 30, 2007 (See Debates)"
39-1-180,39,1,180,2007-02-28,120,verbal,"Debates February 28, 2007","Answered — February 28, 2007 (See Debates)"
39-1-181,39,1,181,NA,NA,NA,NA,NA
39-1-182,39,1,182,2007-04-16,133,verbal,"Debates April 16, 2007","Answered — April 16, 2007 (See Debates)"
39-1-183,39,1,183,2007-03-30,132,verbal,"Debates March 30, 2007","Answered — March 30, 2007 (See Debates)"
39-1-184,39,1,184,NA,NA,NA,NA,NA
39-1-185,39,1,185,NA,NA,NA,NA,NA
39-1-186,39,1,186,2007-05-02,145,verbal,"Debates May 2, 2007","Answered — May 2, 2007 (See Debates)"
39-1-187,39,1,187,2007-05-03,146,verbal,"Debates May 3, 2007","Answered — May 3, 2007 (See Debates)"
39-1-188,39,1,188,2007-05-07,148,verbal,"Debates May 7, 2007","Answered — May 7, 2007 (See Debates)"
39-1-189,39,1,189,NA,NA,NA,NA,NA
39-1-190,39,1,190,NA,NA,NA,NA,NA
39-1-191,39,1,191,2007-05-10,151,verbal,"Debates May 10, 2007","Answered — May 10, 2007 (See Debates)"
39-1-192,39,1,192,2007-05-30,160,written,Sessional Paper No. 8555-391-192,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-192)  — May 30, 2007"
39-1-193,39,1,193,2007-06-01,162,verbal,"Debates June 1, 2007","Answered — June 1, 2007 (See Debates)"
39-1-194,39,1,194,2007-05-16,155,verbal,"Debates May 16, 2007","Answered — May 16, 2007 (See Debates)"
